  , 1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
10, 0, 3, 3, 6, 6, 8, 8, 9, 9,10,
20, 0, 5, 5,20,20,34,34,45,45,52,52,57,57,60,60,62,62,63,63,64,
30, 0, 8, 8,47,47,105,105,157,157,199,199,229,229,251,251,266,266,277,277,284,284,289,289,292,292,294,294,295,295,296,
40, 0,10,10,94,94,257,257,443,443,607,607,740,740,841,841,918,918,974,974,1016,1016,1046,1046,1068,1068,1083,1083,1094,1094,1101,1101,1106,1106,1109,1109,1111,1111,1112,1112,1113,
50, 0,13,13,163,163,554,554,1079,1079,1609,1609,2069,2069,2447,2447,2743,2743,2974,2974,3150,3150,3285,3285,3386,3386,3463,3463,3519,3519,3561,3561,3591,3591,3613,3613,3628,3628,3639,3639,3646,3646,3651,3651,3654,3654,3656,3656,3657,3657,3658,

 0, 0, 
 1, 1, 
 2, 1, 
 3, 2, 
 4, 2, 
 5, 3, 
 6, 4, 
 7, 5, 
 8, 6, 
 9, 8, 
10,10, 
11,12, 
12,15, 
13,18, 
14,22, 
15,27, 
16,32, 
17,38, 
18,46, 
19,54, 
20,64, 
21,76, 
22,89, 
23,104, 
24,122, 
25,142, 
26,165, 
27,192, 
28,222, 
29,256, 
30,296, 
31,340, 
32,390, 
33,448, 
34,512, 
35,585, 
36,668, 
37,760, 
38,864, 
39,982, 
40,1113, 
41,1260, 
42,1426, 
43,1610, 
44,1816, 
45,2048, 
46,2304, 
47,2590, 
48,2910, 
49,3264, 
50,3658, 
